,Item Name,Date,Price
281,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-23,18.0
282,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-23,18.0
283,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-23,118.0
284,Vegetable-Dambulla-Wholesale-Beans ,2015-04-23,75.0
285,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-23,13.0
286,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-24,48.0
287,Other-Dambulla-Wholesale-Coconut ,2015-04-24,48.0
288,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-24,215.0
289,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-24,78.0
290,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-24,59.0
291,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-24,23.0
292,Vegetable-Dambulla-Wholesale-Beans ,2015-04-24,100.0
293,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-24,28.0
294,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-24,28.0
295,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-24,23.0
296,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-24,115.0
297,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-24,20.0
298,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-27,65.0
299,Other-Dambulla-Wholesale-Coconut ,2015-04-27,47.0
300,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-27,215.0
301,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-27,78.0
302,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-27,79.0
303,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-27,28.0
304,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-27,90.0
305,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-27,23.0
306,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-27,28.0
307,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-27,25.0
308,Vegetable-Dambulla-Wholesale-Beans ,2015-04-27,103.0
309,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-27,17.0
310,Other-Dambulla-Wholesale-Coconut ,2015-04-28,49.0
311,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-28,215.0
312,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-28,85.0
313,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-28,83.0
314,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-28,33.0
315,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-28,63.0
